C2B,Airlines,Online,Gold Plan,No,14,SINGAPORE,153.0,38.25,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,CHINA,0.0,0.0,36
C2B,Airlines,Online,Silver Plan,No,138,SINGAPORE,112.5,28.13,32
EPX,Travel Agency,Online,Cancellation Plan,No,129,"TAIWAN, PROVINCE OF CHINA",14.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,48,INDONESIA,20.0,0.0,50
EPX,Travel Agency,Online,Cancellation Plan,No,21,INDONESIA,16.0,0.0,36
C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,87.1,21.77,69
SSI,Airlines,Online,Ticket Protector,No,32,SINGAPORE,0.96,0.27,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,2,INDONESIA,28.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,SINGAPORE,24.0,0.0,36
JWT,Airlines,Online,Value Plan,No,124,INDIA,62.0,24.8,99
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,60,JAPAN,31.0,0.0,22
C2B,Airlines,Online,Silver Plan,No,3,SINGAPORE,22.5,5.63,31
EPX,Travel Agency,Online,Cancellation Plan,No,10,INDONESIA,10.0,0.0,36
JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,22.0,7.7,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,30,ICELAND,-49.5,29.7,29
EPX,Travel Agency,Online,Cancellation Plan,No,22,INDONESIA,18.0,0.0,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,34,INDIA,52.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,"TAIWAN, PROVINCE OF CHINA",18.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,126,"KOREA, REPUBLIC OF",48.0,0.0,36
KML,Travel Agency,Online,Value Plan,No,48,INDONESIA,28.0,10.64,48
JZI,Airlines,Online,Basic Plan,No,44,INDONESIA,22.0,7.7,42
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,51,MALAYSIA,39.6,23.76,43
EPX,Travel Agency,Online,Cancellation Plan,No,141,JAPAN,24.0,0.0,23
